Mods count: 541
 
jar name                                                                            | mod id (isMCreator)                    | mixin configs
ftb-teams-forge-2001.3.1.jar                                                        | ftbteams                               | 
ftb-ultimine-forge-2001.1.7.jar                                                     | ftbultimine                            | ftbultimine-common.mixins.json
ftb-xmod-compat-forge-2.1.3.jar                                                     | ftbxmodcompat                          | 
fuelgoeshere-1.20.0-1.0.1.jar                                                       | fuelgoeshere                           | fuelgoeshere.mixin.json
functionalstorage-1.20.1-1.2.13.jar                                                 | functionalstorage                      | 
fusion-1.2.11a-forge-mc1.20.1.jar                                                   | fusion                                 | fusion.mixins.json, fusion.mixins.refmap.json
GatewaysToEternity-1.20.1-4.2.6.jar                                                 | gateways                               | gateways.mixins.json
geckolib-forge-1.20.1-4.8.2.jar                                                     | geckolib                               | geckolib.mixins.json
    /META-INF/jarjar/mclib-20.jar                                                   |                                        | 
generatorgalore-1.20.1-1.2.4.jar                                                    | generatorgalore                        | 
getittogetherdrops-forge-1.20-1.3.jar                                               | getittogetherdrops                     | getittogetherdrops.mixins.json
glassential-renewed-forge-1.20.1-2.4.5.jar                                          | glassential                            | glassential.mixins.json
GlitchCore-forge-1.20.1-0.0.1.1.jar                                                 | glitchcore                             | glitchcore.mixins.json, glitchcore.forge.mixins.json
Glodium-1.20-1.5-forge.jar                                                          | glodium                                | 
GravitationalModulatingAdditionalUnit-1.20.1-3.5.jar                                | gravitationalmodulatingunittweaks      | gmut.mixin.common.json, gmut.mixin.client.json, gmut.mixin.refmap.json
gtceu-1.20.1-7.2.0.jar                                                              | gtceu                                  | gtceu.mixins.json, assets/gtceu/blockstates/reaction_safe_mixing_casing.json, assets/gtceu/models/block/reaction_safe_mixing_casing.json, assets/gtceu/models/item/reaction_safe_mixing_casing.json
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar                                   |                                        | 
    /META-INF/jarjar/configuration-forge-1.20.1-2.2.0.jar                           | configuration                          | configuration.mixins.json
    /META-INF/jarjar/ldlib-forge-1.20.1-1.0.40.b.jar                                | ldlib                                  | ldlib-common.mixins.json, ldlib.mixins.json
gttoolmapper-1.1.jar                                                                | gttoolmapper                           | 
guccivuitton-1.20.1-0.2.2.jar                                                       | guccivuitton                           | guccivuitton.mixins.json
guideme-20.1.13.jar                                                                 | guideme                                | 
GunpowderLib-1.20.2-2.2.2.jar                                                       | gunpowderlib                           | 
halovecs-1.20.1-3.2.7.jar                                                           | halovecs                               | halovecs.mixins.json
handcrafted-forge-1.20.1-3.0.6.jar                                                  | handcrafted                            | handcrafted.mixins.json, handcrafted-common.mixins.json
harvestwithease-1.20.1-8.0.1.0-forge.jar                                            | harvestwithease                        | 
HostileNeuralNetworks-1.20.1-5.3.3.jar                                              | hostilenetworks                        | hostilenetworks.mixins.json
hyperbox-1.20.1-4.0.2.0.jar                                                         | hyperbox                               | hyperbox.mixins.json
    /META-INF/jarjar/infiniverse-1.20.1-1.0.0.5.jar                                 | infiniverse                            | 
Iglee's Library-1.20.1-1.2.7.jar                                                    | igleelib                               | 
ImmersiveEngineering-1.20.1-10.2.0-183.jar                                          | immersiveengineering                   | immersiveengineering.mixins.json
industrial-foregoing-1.20.1-3.5.21.jar                                              | industrialforegoing                    | 
industrial-foregoing-souls-1.20.1-1.0.9.jar                                         | industrialforegoingsouls               | 
IntegratedCrafting-1.20.1-1.3.0.jar                                                 | integratedcrafting                     | 
IntegratedDynamics-1.20.1-1.28.1.jar                                                | integrateddynamics                     | mixins.integrateddynamics.json, mixins.integrateddynamics.refmap.json
